product_key,name,board,t_change,price_before,price_after,pct,direction,gap_h,rank_pre6,rank_post6,rank_post12,rank_post24,d6,d12,d24,n_pre,n_post24
A000000210512,반디 살롱드네일 베이스 & 탑코트 7ml 2종,nail,2026-08-20T16:00:00,11200,9600,-14.3,drop,1,31.5,54.4,58.8,51.4,22.9,27.3,19.9,4,22
A000000210512,반디 살롱드네일 베이스 & 탑코트 7ml 2종,nail,2026-08-21T09:00:00,9600,11200,16.7,rise,1,60,32.8,47.8,49.5,-27.2,-12.2,-10.5,6,24
A000000210512,반디 살롱드네일 베이스 & 탑코트 7ml 2종,nail,2026-08-21T10:00:00,11200,9600,-14.3,drop,1,54.8,35.5,50.2,51.1,-19.3,-4.7,-3.7,6,24
A000000210512,반디 살롱드네일 베이스 & 탑코트 7ml 2종,nail,2026-08-22T14:00:00,9600,11200,16.7,rise,1,74.5,39.7,43.4,50.3,-34.8,-31.1,-24.2,6,18
A000000210918,질레트 프로쉴드 옐로우 파워 (핸들 1입+면도날 4입+미니젤),mens,2026-08-21T16:00:00,26650,32900,23.5,rise,1,48,75.7,88.3,94,27.7,40.3,46,6,24
A000000210918,질레트 프로쉴드 옐로우 파워 (핸들 1입+면도날 4입+미니젤),body,2026-08-21T16:00:00,26650,32900,23.5,rise,1,80.2,97.2,99.1,100.0,17.0,18.9,19.9,6,24
A000000211187,[1일1팩/밀착진정] 듀이트리 AC 딥 진정 마스크 10매 (열감/흔적),masks,2026-08-20T15:00:00,11700,13300,13.7,rise,1,12,9.4,40,68.6,-2.6,28,56.6,3,22
A000000211187,[1일1팩/밀착진정] 듀이트리 AC 딥 진정 마스크 10매 (열감/흔적),sale,2026-08-20T15:00:00,11700,13300,13.7,rise,1,94.3,68.2,84.6,93.5,-26.1,-9.7,-0.8,3,22
A000000212247,오브제 포어 제로 무스 클레이 팩 100ml,masks,2026-08-21T16:00:00,17900,19900,11.2,rise,1,63.8,91.8,94.8,97.6,28.0,30.9,33.8,6,24
A000000212247,오브제 포어 제로 무스 클레이 팩 100ml,mens,2026-08-21T16:00:00,17900,19900,11.2,rise,1,33,51,55.8,64.4,18,22.8,31.4,6,24
A000000215502,[8월올영픽/쿨링진정] 브링그린 알로에 97% 수딩젤 (2입/쿨러/단품),suncare,2026-08-21T16:00:00,11500,10200,-11.3,drop,1,13.3,12.3,14.2,12.1,-1.0,0.9,-1.2,6,24
A000000215502,[8월올영픽/쿨링진정] 브링그린 알로에 97% 수딩젤 (2입/쿨러/단품),suncare,2026-08-22T15:00:00,10200,11500,12.7,rise,1,8.7,9.8,11.8,12.2,1.2,3.1,3.5,6,17
A000000216255,[단독기획/5중모공케어] 오브제 포어 제로 토너/로션 2종 기획,skincare,2026-08-21T16:00:00,28400,30800,8.5,rise,1,100.8,101,101,101,0.2,0.2,0.2,6,24
A000000216255,[단독기획/5중모공케어] 오브제 포어 제로 토너/로션 2종 기획,mens,2026-08-21T16:00:00,28400,30800,8.5,rise,1,30.8,26,36.7,62.8,-4.8,5.8,31.9,6,24
A000000217330,[결광톤업] 식물나라 뽀얀쌀 톤업 수분 선크림 100ml 3종 (생기/보라/초록),suncare,2026-08-20T15:00:00,11800,9900,-16.1,drop,1,88,74.8,61.9,47.9,-13.2,-26.1,-40.1,3,22
A000000217330,[결광톤업] 식물나라 뽀얀쌀 톤업 수분 선크림 100ml 3종 (생기/보라/초록),suncare,2026-08-21T16:00:00,9900,11800,19.2,rise,1,36.7,95,91.2,78.1,58.3,54.6,41.4,6,24
A000000217511,[클렌징밤 본품 절반 증정]  휩드 비건 팩클렌저 130g 기획 4종 (피치페어/머그트리/무화버터/유자몽),cleansing,2026-08-20T15:00:00,17900,18500,3.4,rise,1,1,1.4,8.8,10.8,0.4,7.8,9.8,3,22
A000000217511,[클렌징밤 본품 절반 증정]  휩드 비건 팩클렌저 130g 기획 4종 (피치페어/머그트리/무화버터/유자몽),sale,2026-08-20T15:00:00,17900,18500,3.4,rise,1,4,8,54.5,79.9,4,50.5,75.9,3,22
A000000218508,[화해1등] 비욘드 바디타민 로션(착색미백/탄력/보습) 3종 기획 택1,body,2026-08-21T16:00:00,26000,19800,-23.8,drop,1,6.5,41.5,36.4,23.8,35.0,29.9,17.2,6,24
A000000218508,[화해1등] 비욘드 바디타민 로션(착색미백/탄력/보습) 3종 기획 택1,sale,2026-08-21T16:00:00,26000,19800,-23.8,drop,1,100.3,101,101,101,0.7,0.7,0.7,6,24
A000000218508,[화해1등] 비욘드 바디타민 로션(착색미백/탄력/보습) 3종 기획 택1,body,2026-08-22T03:00:00,19800,26000,31.3,rise,1,33.8,12.2,11.6,10.9,-21.7,-22.2,-23.0,6,24
A000000218508,[화해1등] 비욘드 바디타민 로션(착색미백/탄력/보습) 3종 기획 택1,sale,2026-08-22T03:00:00,19800,26000,31.3,rise,1,101,101,101,98.8,0,0,-2.2,6,24
A000000219331,[속눈썹 실패 걱정 끝] 필리밀리 속눈썹 골라담기 택1 (포인트 가닥/노글루/컷팅/미들포인트/접착제),tools,2026-08-21T09:00:00,8200,11900,45.1,rise,1,10,6.7,7.4,7.7,-3.3,-2.6,-2.3,6,24
A000000219331,[속눈썹 실패 걱정 끝] 필리밀리 속눈썹 골라담기 택1 (포인트 가닥/노글루/컷팅/미들포인트/접착제),tools,2026-08-22T10:00:00,11900,8000,-32.8,drop,1,12,8.3,14.1,13.2,-3.7,2.1,1.2,6,22
A000000223781,[트러블/면도후] 닥터지 레드 블레미쉬 포 맨 진정 올인원 150ml 2종 (단품/증정 기획),mens,2026-08-20T12:00:00,24000,21000,-12.5,drop,4,53.5,48.3,56,51.8,-5.2,2.5,-1.7,2,22
A000000223781,[트러블/면도후] 닥터지 레드 블레미쉬 포 맨 진정 올인원 150ml 2종 (단품/증정 기획),mens,2026-08-21T02:00:00,21000,24000,14.3,rise,2,78,39.3,50.8,43.4,-38.7,-27.2,-34.6,4,24
A000000225073,[8월올영픽/모공순삭] 오휘 3아워 블러링 선파우더 기획(+교체퍼프 2개 증정) 2 Colors,suncare,2026-08-20T15:00:00,34900,43200,23.8,rise,1,16.7,23.6,29.5,29.7,6.9,12.8,13.0,3,22
A000000225273,[손쉽게완성] 필리밀리 노글루 포인트 가닥 속눈썹 골라담기 택1,tools,2026-08-21T09:00:00,8200,8000,-2.4,drop,1,58.5,82.8,91.6,77.0,24.3,33.1,18.5,6,24
A000000225565,[선크림&메이크업 완벽세정] 미닉 퍼펙트 콜라드 그린 진정 원 스텝 클렌저 200ml,mens,2026-08-22T00:00:00,18200,19200,5.5,rise,57,101,100.2,100.6,100.8,-0.8,-0.4,-0.2,6,24
A000000226676,[NEW] 어노브 트래블 키트 2종 택1,hair,2026-08-20T08:00:00,20800,24000,15.4,rise,2,17,86,95.4,91.8,69,78.4,74.8,1,18
A000000226676,[NEW] 어노브 트래블 키트 2종 택1,sale,2026-08-20T08:00:00,20800,24000,15.4,rise,2,101,101,101,101,0,0,0,1,19
