kind,key,mentions,likes,like_per_mention,months_present,first,last,videos,channels,max_like,shape,example,example2,example2_like
brand,아이오페,2,30,15.0,2,2026-06,2026-08,2,2,22,narrow-strong,"민감 극건성이라 애기때부터 화장품이나 성분에 관심 많았는데, 90년대부터 아이오페 레티놀 2500 있았던 기억이...무향의 무실리콘 수분베이스 세럼으로 만들어주면 얼마나 좋을까","저는 수부지에 약간 민감성 피부여서 세미매트 제형의 쿠션을 선호하는데요, 쿠션의 원조라고 할 수 있는 아이오페쿠션부터 시작해서 클리오 킬커버(컨실쿠션, 파운웨어, XP, 파운웨어 올뉴 등등), 라네즈쿠션, 조성아쿠션(대왕쿠션 그외 등등), 에스쁘아, 파넬쿠션, 헤라 블랙쿠션, 지금은 단",8
brand,유이크,2,26,13.0,2,2026-03,2026-07,2,1,26,narrow-strong,유이크 바이옴 용량 늘릴 생각은 없으신가여 너무 작아요….,다음에도 유이크와 좋은 제품으로 또 만들어주세요 ㅎㅎㅎ,0
brand,맥,2,7,3.5,2,2026-03,2026-04,2,2,5,thin,맥 라이트풀 톤업밤 저도 4통 비우고 사용중인데 절대 단종되면 안되오ㅠㅠㅠㅠㅠ,맥 제품은 안나오네용~,2
brand,라로슈포제,2,4,2.0,2,2026-02,2026-08,2,2,4,thin,라로슈포제 밤도 답답할거 같은데 복합성 피부에 좋은 크림 없을까요?,라로슈포제 보습크림 쓰는데요..밀려요..오후되먼 속건조가심해서..안밀리고 속건조에 좋은 크림없나요?,0
brand,러쉬,2,4,2.0,2,2026-01,2026-06,2,2,3,thin,"섀도우 팔레트 ,마스카라 ,브러쉬 아이라인 브라운 제발 단종하지 말아주세요 ㅠㅠ인생템 무쌍이라 젤 테일 라인도 너무 좋구요...실리콘 립브러쉬도 너무 잘쓰고있어요",투쿨이랑 협업하셔서 브러쉬 출시해주세요 ㅎㅎㅎ,1
brand,바닐라코,2,0,0.0,1,2025-08,2025-12,2,2,0,thin,혹시 바닐라코 화이트 모이스처 쿠션 19라이트 색상이랑 비슷한 쿠션 없을까요ㅜㅜ,바닐라코 붓만 따로 판매가 아니였네요^^:: 그럼 안나수이  로즈프레스드 파우더 와 차이점 뭔지 궁금해요^^::,0
brand,라네즈,2,0,0.0,2,2026-06,2026-08,2,2,0,thin,라네즈는 뭔가 요철부각이 좀 있었던 느낌 왜 라네즈 파데가 단종이 되었는지...에휴 그게 조금 더 화사하게 나왔으면 딱 좋았을 것을,라네즈 스무디 메이크업 세럼은 절대 단종되면 안 돼요,0
brand,프리메라,2,0,0.0,1,2025-08,2026-04,2,2,0,thin,저는 원래 탄력과 미백에 관심이 많았는데 프리메라 비타 세럼 제품 많이 나오길래 구매해 봤었는데 바르고 나면 피부가 쫀쫀해지면서 피부 톤이 화사해지는 느낌이 들더라구요,그래서 촉촉하면서도 가벼운 쿠션 없을까 찾다가 프리메라 나이아시카 워터리 크림 쿠션이 눈에 띄었어요!,0
brand,넘버즈인,2,0,0.0,1,2025-08,2026-05,2,2,0,thin,넘버즈인 5번 흔적 앰플 잘 쓰고 있지만 뭔가 부족한 느낌...세럼 넘넘 기대됩니다^^ 근데 전 비타민c 20%도 잘 맞아서😅 다음제품엔 고용량 쓰는 40대 후반들을 위한 제품도 출시되길 바래봅니다😊.,혹시 땀과 유분에도 강한 선크림과 넘버즈인3번 제품 바르면 좋은 제품 없을까요😢??,0
brand,정샘물,2,0,0.0,2,2026-02,2026-04,2,2,0,thin,"듀이핏이랑 픽서 너무너무 사고싶은데,, 맨날 품절중이긔,, 정샘물님 힘내셔서 재고내주세요😂",정샘물 쿠션 넘 궁금한데 어두운톤 핑크베이스 나오면 좋겠어용😢😢,0
brand,무신사,2,0,0.0,1,2025-08,2026-06,2,2,0,thin,어디서 구매하시나요 ?올영에도 무신사에도 없던데요 ㅜ,개인적인 바램으로는 무신사에 입점 해주셨으면..ㅜㅜ,0
brand,아모레,1,140,140.0,1,2026-07,2026-07,1,1,140,narrow-strong,버블토너가 그렇게 좋으면 아모레 lg생건 로레알도 만들지..,버블토너가 그렇게 좋으면 아모레 lg생건 로레알도 만들지..,140
brand,디오디너리,1,109,109.0,1,2026-01,2026-01,1,1,109,narrow-strong,디오디너리 제품들 어떻게 생각하시는지 궁금해요(올리브영에도 입점됨) 저는 가격 착하고 성분 퓨어해서 좋다고 생각하거든요?,디오디너리 제품들 어떻게 생각하시는지 궁금해요(올리브영에도 입점됨) 저는 가격 착하고 성분 퓨어해서 좋다고 생각하거든요?,109
brand,디어에이,1,27,27.0,1,2026-05,2026-05,1,1,27,narrow-strong,디어에이 블러셔 브러쉬는 왜 안 팔아주시나요,디어에이 블러셔 브러쉬는 왜 안 팔아주시나요,27
brand,아렌시아,1,19,19.0,0,2025-08,2025-08,1,1,19,narrow-strong,아렌시아랑 휩드는 여러가지가 있어서 헐레벌떡 뛰어 왔는데 한가지만 나와서 아쉬웠고...,아렌시아랑 휩드는 여러가지가 있어서 헐레벌떡 뛰어 왔는데 한가지만 나와서 아쉬웠고...,19
