kind,key,mentions,likes,like_per_mention,months_present,first,last,videos,channels,max_like,shape,example,example2,example2_like
format×attr,색상/호수 확장,97,931,9.6,12,2024-08,2026-08,54,19,138,broad,페리페라의 역작 앳지누드… 재출시해주세요ㅠㅠ,전 다써봤는데 이번에 헤라cc바르고 감격했어여 제가찾던 발림성 커버력 색상ㅎㅎ나스는 너무 매트하고 안가려지고 디어달리아는 왜케 빨리 무너지던지..헤라 진짜 열일했더라구여 단종되면 안되여!!!ㅜㅜ진짜 널리널리 알려야해영ㅋㅋ❤,128
format×attr,단종/재출시,82,1772,21.6,12,2016-08,2026-08,58,32,494,broad,제발 단종시키지마세요....,달방아 콩콩해 단종 절대 안됩니다...,245
format×attr,국내출시/입점/유통,64,313,4.9,10,2023-08,2026-08,56,28,112,broad,이니스프리랑 에뛰드는 한국에서도 줄줄 폐업 중이죠 ㅎ...,"아니 브이티 리들샷은 워낙 한국에서도 유명하지만, 사실 시카의 찐 원조임.",53
format×attr,가격/가성비,32,804,25.1,11,2025-08,2026-08,32,19,281,broad,피몽쉐 가격만 개비싸지 별거없네 가격 내려라,런칭하기 전 인플루언서들한테 쫙 뿌리는 마케팅 대신 가격을 낮춰보세요,255
format×attr,에센스/세럼/앰플,28,53,1.9,10,2025-08,2026-08,24,8,28,persistent,레이어랩 기미색소 세럼 아침저녁으로 쓰는데요 50ml도 있으면 좋을거같아요,@J @Jaina0 니오좀 판테놀 세럼도 좀 더 가벼운 버전도 나왔으면 좋겠어요 ㅠㅠ,5
format×attr,쿠션,26,77,3.0,9,2025-08,2026-07,18,10,23,persistent,지나언니… 제발 1번 파우더 팩트형두 만들어주시면안대요…?,나중에 혹~~시라도 기회가 된다면 팩트(?) 구워진 타입(?) 으로 출시되었으면 하는 바람도 슬쩍 남겨봅니다…//,14
format×attr,립틴트/립스틱,24,208,8.7,8,2021-08,2026-08,14,9,58,thin,올해는 블러틴트 마니 나왔으면 좋겠어요,매트립도 다양하게 나왔으면 좋겠어요 ㅠㅠㅠ,52
format×attr,대용량,23,859,37.3,9,2024-08,2026-08,20,13,731,persistent,그럼 작은 용량 좀 만들어라!!!!ㅜㅠㅠㅠㅠㅠ,대량으로 만드셔서 단가좀 낮춰주시고 용량좀 넉넉하게 출시해주세용ㅜㅜㅜ,55
format×attr,선크림,22,20,0.9,5,2024-08,2026-08,20,8,10,thin,그런 선크림은 없을까요?,바디 선크림 빨리 출시해주세요,5
format×attr,립틴트/립스틱 × 색상/호수 확장,21,87,4.1,6,2024-08,2026-08,9,7,44,thin,컬러 립밤도 만들어주시면 좋겠어요...,"다양한 색상의 립이 나오는 건 좋은데 매트 립이 적어서 아쉬워요… 립매트 하나 사서 써봤는데 대가리 금방 부러져서 오래 쓰지도 못 했어요,, 매트 틴트도 많이 내주세요!!",15
format×attr,마스크팩,21,18,0.9,9,2025-08,2026-08,18,8,5,persistent,잘 쓰고 있어어요🤍 레이어랩 팩도 출시해주시면 너무 좋을 것 같아용:),우와 발몽이라니 예전부터 리뉴잉팩 잘쓰고있는데 리제네라2도 있었으면 좋겠어요~❤,4
format×attr,토너/스킨,19,194,10.2,8,2025-08,2026-08,19,10,140,thin,버블토너가 그렇게 좋으면 아모레 lg생건 로레알도 만들지..,토너패드 26년 버전도 해주세요!!,29
format×attr,지성/건성,18,48,2.7,7,2025-08,2026-08,15,6,14,thin,레이어랩 지성용 라인은 안나오겟죠?….,레이어랩은 악건성인 저한테 한줄기 빛같은 제품이었답니다.앞으로도 좋은제품 많이만들어주세요!!!!😊,6
format×attr,클렌징,16,91,5.7,5,2025-08,2026-05,14,6,32,thin,덕분에 피부 좋아졌단 이야길 들어요ㅎㅎ클렌징 제품도 좀 만들어주세요,"제이나님,, 클렌징 밀크랑 클렌징 오일두 출시해주세요~!!",23
format×attr,세트/기획,15,131,8.7,7,2025-08,2026-08,13,8,58,thin,근데 샘플도 좀 팔아주면 좋겠긴해요....,전제품 여행키트 만들어주세요!,30
format×attr,세트/기획 × 세트/단품 구성,15,71,4.7,8,2025-08,2026-08,13,9,34,thin,단품 옵션 없어서 아쉬워요 ㅠㅠ,썬 하나 비비 하나 세트도 있으면 좋겠어요,19
format×attr,쿠션 × 색상/호수 확장,15,38,2.5,7,2025-08,2026-08,11,7,28,thin,"너무 밝게 나와서 1719호 분들도 잘쓰시니까..너무 밝지 않은!!딱 적당한 21호 제발 한번만 만들어주세요ㅠㅠ(이거진짜중요) 제가 원래부터 21호를 쓰고있었는데 요즘 파데,쿠션들 다","롬앤 쿠션 모공커버력이 넘 좋아서 너무 만족하며 사용하고 있어요💫 22호 컬러가 출시되면 더 더 좋을 거 같아요,,,, 바비브라운 치크도 넘 찰떡이시고 속눈썹도 새롭고 잘 어울리세요💚",5
format×attr,크림 × 제형(스틱/쿠션/젤/밤/스프레이),14,24,1.7,9,2025-08,2026-08,14,5,11,persistent,트루션 크림도 잘 쓰고 있는데 이번거도 빨리 나오면 좋겠습니다,라로슈포제 밤도 답답할거 같은데 복합성 피부에 좋은 크림 없을까요?,4
format×attr,선크림 × 제형(스틱/쿠션/젤/밤/스프레이),13,64,4.9,4,2024-08,2026-08,12,6,41,thin,바디 선크림도 만들어주세요 ~~,"요즘 선크림 류에 화장하기 전에 바르기 쉬운 선에센스 제형이 많이 출시되었는데, 선에센스들도 자외선 차단 효과가 괜찮은건지 궁금합니다.",6
format×attr,크림,13,24,1.8,6,2023-08,2026-06,12,7,8,thin,판테놀 크림 미국에도 하루빨리 출시 부탁드립니다.,그러면 두피에 바르는 두피장벽 크림 같은거는 없나요?,5
format×attr,소용량/미니/휴대,12,357,29.8,4,2023-08,2026-08,10,6,176,narrow-strong,ㄹㅇ 화장품 브랜드들 여행용 사이즈를 돈주고 팔았으면 좋겠음..,더 소용량을 만들어내야 함 리필용도 따로 내고,58
format×attr,파운데이션,12,53,4.4,5,2019-08,2026-05,9,7,39,thin,아멜리 제발 쿨쓰루쓰루 파데 좀 다시 만들어주세요..,테스트 해볼 겸 하나만 샀는데 제발 파운데이션 용량으로 출시해주세요,4
format×attr,무기자차/유기자차,12,6,0.5,4,2024-08,2026-08,10,7,3,thin,"역시디파님 순정무기자차 유기자차 다쓰고있는데 이번에 또 출시해주시다니,,, 마음급해서 올영에서 오늘드림으로 당장 샀어요",유기자차나  혼합은 사고싶어도 눈시림때문에     늘 고민인데  무기자차 안건조하고 백탁없는  획기적인게  나오면 좋겠어요 ᆢ 샘은 젊은남자분이라  건조에 덜예민해서   무기자차 맞으신듯ᆢ,1
format×attr,샴푸/린스/트리트먼트,11,78,7.1,4,2024-08,2026-06,10,7,39,thin,성분좋은 샴푸 린스 바디워시 요런제품도 만들어주시면   좋을것같아요❤,샴푸도 만들어주세요,13
format×attr,용기/패키지,11,45,4.1,4,2024-08,2026-06,11,10,17,thin,한국도 어마어마한 한국뽕 샤랄라 전통 화려 아름다운 패키징 내주면 좋겟다 ..,기업콜라보말고 제발 자체브랜드로 디파님 제품내주세요 ㅜㅜ,7
format×attr,미스트,11,39,3.5,4,2025-08,2026-08,7,5,10,thin,미스트 빨리 나왔으면 좋겠다,미스트도 만들어주면 좋겟다요,8
format×attr,이너뷰티,11,9,0.8,5,2025-08,2026-08,11,5,5,thin,순수비타민 너무 좋은데 30ml말고 15ml로 나왔으면 좋겠어요 ^^,방광염 환자라서 urex균주 들어간 질영양제를 자기직전에 먹고 자는데 일단 먹는동안 냉같은거 안나오고 나온다고 하더라도 투명함.,2
format×attr,프라이머/베이스,11,3,0.3,4,2025-08,2026-06,7,5,3,thin,어두운 피부톤에도 잘 어울리는 비비크림은 없을까요..?,유분감이 많은 피부인데도 겨울철이 되니 각질부각이 되고 화장이 뜨는 날이 많아서 겨울철 피부에 맞게 다양한 베이스류가 나왔으면 좋겠습니다 !!!!,0
format×attr,에센스/세럼/앰플 × 대용량,10,6,0.6,4,2025-08,2026-08,8,2,2,thin,에센스 대용량 미스트펌프 판매해주세요~~,그래도 리뉴얼 됐으니 또 사놓기😁 판테놀세럼은 진쨔 대용량 리필용 만들어주시기!!!!!!!!😭 스포이드류 대용량에 부어서 쓰기 힘두러요,2
format×attr,바디 × 제형(스틱/쿠션/젤/밤/스프레이),9,14,1.6,3,2025-08,2026-03,8,5,6,thin,바디로션으로도 나왔으면 좋겠어용~,원장님 바디워시 바디로션도 만들어주세용 🐰🐰,5
format×attr,리필,9,3,0.3,4,2024-08,2026-07,9,7,2,thin,리필만 출시 해주시면 안되나요?ㅠ,리필좀 팔아주세요 ㅠ,1
format×attr,바디,8,135,16.9,4,2025-08,2026-08,7,3,106,narrow-strong,혹시 바디 제품도 출시할 계획이 있으신가요?,무조건 믿고 기다립니다!!(바디크림은 꼭 출시 부탁드려요ㅜ),26
format×attr,세트/단품 구성,8,90,11.2,4,2024-08,2026-07,7,7,74,narrow-strong,왕관괄사도 따로팔아주세요!!!!!,뿌리는용은 따로 판매를 하지 않는거 같은데,7
format×attr,프라이머/베이스 × 색상/호수 확장,8,84,10.5,3,2025-08,2026-08,5,5,45,narrow-strong,베이스메이크업 제품 컬러가 다양하게 나와서 피부톤 자체는 밝게화장하는 사람들이 많이 줄었음 그대신 메이크업샵도 쿨병걸려서 다,롬앤 말린 메밀꽃 팔레트에 있는 베이스 섀도우 소프트위트 컬러가 싱글 섀도우로 출시됐으면 좋겠어요!,23
format×attr,쿠션 × 제형(스틱/쿠션/젤/밤/스프레이),8,75,9.4,4,2022-08,2026-05,8,5,68,thin,저때 에뛰드 컨셉 지금 나왔으면 인기몰이 했을듯?지금은 갸루&양산형 인기라서...저때도 디자인 진짜 예쁜거 많이 나왔었고(마카롱같은 쿠션케이스&스윗레시피 라인)이전에 나온 박신혜가 모델이었을때 VIP립스틱이랑 큐피드립스틱 케이스 안나수이랑 비슷해서 진짜 좋아했었는데...왜 이렇게 됐을까,제이나님 비비나 쿠션도 만들어주세요ㅜㅜㅜㅜ,6
format×attr,순함/민감/임산부/아기,8,42,5.2,6,2025-08,2026-08,8,4,16,thin,민감피부에도 너무 잘맞고 그냥 만능라인 절대 단종되면 안되는 평생 무덤템입니다,우리나라는 화장품을 너무 순한 성분들로만 만들려고 함...이게 장점이자 단점...순한 성분들로는 효과를 못보는 피부들도 있는데...이런 점에선 해외 화장품이 나은 거...,15
format×attr,블러셔,8,33,4.1,3,2026-01,2026-08,4,4,27,thin,디어에이 블러셔 브러쉬는 왜 안 팔아주시나요,젤라이너 보고 생각나 말씀드리는건데 10년 이전 정말 예전에 그 소분하던 감성으로 소분된 버전으로 치크나 립 나오면 좋겠어요,2
format×attr,기능(지속/커버/보습/미백 등),8,26,3.2,5,2025-08,2026-06,8,5,11,thin,제발 쪼끔더 지속력있는 피토로 만들어주세요 ㅠㅠㅠ,넘 감사해요 50대후반인데 탄력관리 제품도 만들어주심 어떨까요,11
format×attr,아이섀도우,8,11,1.4,4,2024-08,2026-08,6,5,7,thin,다른 브랜드들도 이런 재밋는 팔레트 많이 내주면 좋겟지만 어디서 들었는데 우리나라는 데일리에서 벗어나면 판매율이 좀 많이 떨어진다고 하더라구요,제발 다시 비레디 아이 팔레트 만들어주세요ㅠㅠㅠㅠ,2
format×attr,무향,8,4,0.5,6,2025-12,2026-08,8,8,3,thin,쌤~~주름보톡스 제오민 맞고나서 얼마 뒤에 온다리프팅 받아야 보톡스에 영향 없을까요??,제발 무향으로 만들어줬으면…,1
format×attr,비건/클린/성분,7,41,5.9,4,2025-08,2026-02,6,5,24,thin,"입슬 너무 건조하게 하는 성분 빼서 재출시했으면,, 그리고 올..",언니 제발 자외선 팔토시 제품 만들어주세요… 햇빛 알러지때문에 괴로운데 제품 너무 안이뻐서 이걸 써야햇나 싶었거든요😢,15
format×attr,아이섀도우 × 색상/호수 확장,6,76,12.7,5,2026-01,2026-07,5,3,47,narrow-strong,올영에도 섀도우 많이 깔려있지만 워낙 종류가 많아서  홀리카 매장에만 있는 컬러들도 많음...,여름뮤트한테 잘 어울리는 뮤트하고 모브한 올매트 아이팔레트 색상 만들어주세요!,24
format×attr,향,6,39,6.5,5,2025-08,2026-08,6,4,34,thin,환경에도 뭔가 좋은영향을 주는 레이어랩만의 아이디어가 나오길 간절히 간절히 기다려봅니다!,향도 같은 제품이면 더 좋겠다,2
format×attr,선쿠션 × 제형(스틱/쿠션/젤/밤/스프레이),6,36,6.0,4,2024-08,2026-05,5,2,15,thin,선쿠션도 만들어줘요 ❤❤,더파이 선쿠션도 만들어주세용!,12
format×attr,남성용,6,29,4.8,2,2024-08,2026-04,5,4,10,thin,남성용 화장품도 출시되면 좋겠습니당 ㅎㅎ,올영직원분도 같은 브랜드 다른 라인으로 남성거 따로나오면 상술이고 그냥 원래 게 더 좋다고 그거쓰라고 남고객들에게 권하는데 남자들이 굳이 남성라인 고른댔음 선택폭 안 좁히셔도 됩니다,9
format×attr,선스틱 × 제형(스틱/쿠션/젤/밤/스프레이),6,23,3.8,2,2025-08,2026-07,5,2,19,thin,파이님 선스틱도 만들어주세요ㅠㅠㅠ제발요오…..,썬스틱도 출시되면 좋겠어요❤,3
format×attr,선크림 × 무기자차/유기자차,6,14,2.3,4,2025-08,2026-07,6,5,12,thin,무기자차 선크림 좀 많이 출시해주면 좋겠어요.,회사들이 피부색에 맞는 틴티드 선크림 무기자차랑 유기자차를 많이 만들어줬으면 좋겠어요,1
format×attr,아이섀도우 × 단종/재출시,5,16,3.2,3,2025-11,2026-06,3,2,7,thin,젠쿨팔레트도 꼭 재출시 해주세요...,페리페라님께서 재출시해주셔야할 항목 : 넘넘체리팔레트 기분이살랑해 힙생힙사 킹뮤트라슈 제발요ㅠ,3
format×attr,툴/소품,5,13,2.6,4,2024-08,2026-06,5,4,4,thin,혹시 딴데서 파는 퍼프 중 비슷한거 없을까요?,요즘 히팅뷰러까지 굴곡도 손잡이도 다양하게나와서요ㅠㅠㅠㅠ,4
format×attr,계절/기후,5,7,1.4,2,2025-08,2026-07,5,5,5,thin,아워글라스 매트밤 출시되면 사려고 대기타고 있어용❤ 여름에는 오히려 매트가 좋더라구요,런칭혜택이 제일 클것같아서 벌써 고민되네여 8월에 여름에 나오면 좋을것같아요❤ 여름에 도움이 많이될것같아서요!!,1
format×attr,세트/기획 × 소용량/미니/휴대,5,6,1.2,3,2025-08,2026-01,5,2,6,thin,너무 기대되네요😊 혹시 기초제품들 트레블키트로 만들어 주시면 너무 좋을꺼 같아요😊,미니어처 판매했으면 좋겠다구 생각했는데 증정이라니 너무 좋은데요💕 두세트 구매합니다!!,0
format×attr,세트/기획 × 용기/패키지,4,2302,575.5,3,2024-08,2026-06,4,4,2300,narrow-strong,아이돌도 이지리스닝이 있으면 하드리스닝이 있듯이 화장품 패키지도 미니멀이 있으면 그반대도 있었으면,가벼운 패키지로 나오면 좋겠어요🙌,1
format×attr,툴/소품 × 용기/패키지,4,561,140.2,2,2023-08,2026-07,4,4,534,narrow-strong,케이스 누가 디자인하셨는지 케이스 바꿔서 다시 나와야돼요,대부분 프랑스 화장품 회사에서 케이스만 만들고 내용물은 한국꺼라고 하더라구요.,14
format×attr,블러셔 × 색상/호수 확장,4,111,27.8,3,2025-11,2026-04,4,3,70,narrow-strong,블러셔 인기 많아지면 제발 <스마일리샌드> 컬러도 부활시켜주세요,제발 맑게물든선샤인치크 7호 요거트얌얌해 재출시해주세요…… 비슷한 색상은 많지만 요거트얌얌해만의 페일한 요거트핑크 색은 없어요😭😭😭,41
format×attr,제형(스틱/쿠션/젤/밤/스프레이),4,16,4.0,4,2025-11,2026-08,4,4,12,thin,와우 방금 받아서 써봤는데 이거 제형 진짜 뭐예요~~?개좋음 화장했는데도 피부가 가벼운느낌 진짜 스며드는 것같아여!!개이뻐서 호들갑 떨어줘야함 촉촉보송이쟈냐~❤같이 손잡고 펌프형으로 출시해주세요❤브레이 보구있나~?😊 잠깐..2일차인데 이제품 쓰면 눈이 쫌 시림...,아침에 얼굴이랑 팔에 바르면 은은하게 시원해서 짱 죠음...❤ 제발 스틱으로 나왔으면.....,4
format×attr,에센스/세럼/앰플 × 제형(스틱/쿠션/젤/밤/스프레이),4,5,1.2,2,2025-08,2026-02,4,2,3,thin,주닥 에센스도나왔으면좋겠어요,레이나님 egf세럼과  egf크림도 만들어 주세요😂😂😂,2
format×attr,크림 × 지성/건성,4,5,1.2,3,2025-08,2026-07,4,2,4,thin,"여드름 지성 피부를 위한 여름, 겨울용 크림이 출시 되었으면 좋겠네요",저는 시어버터가 잘 맞지않는 지성 피부라 레이어랩 크림 너무 써보고싶은데 아쉬워여🥹 혹시 다음에는 시어버터가 없는 보습크림이 나왔으면 좋겠습니다!!,1
format×attr,립틴트/립스틱 × 제형(스틱/쿠션/젤/밤/스프레이),4,4,1.0,2,2023-08,2026-04,4,2,2,thin,미스트 립밤도 만들어주세요 ㅎ 저는 클렌징부터 화장마무리까지 다,국내에도 레이지 립스틱이랑 비슷한 모델 팔아요!,2
format×attr,프라이머/베이스 × 제형(스틱/쿠션/젤/밤/스프레이),4,3,0.8,1,2025-08,2025-09,4,2,3,thin,민감피부가 사용할수있는 비비크림도 만들어주세요~~,비비크림도 꼭 나왔으면 좋겠어요🥺,0
format×attr,톤업,3,96,32.0,1,2025-08,2026-05,2,2,91,narrow-strong,백화점 톤업선도..만들어주세요ㅜㅜ,신기신기 톤업메이크업 치면 파데프리템만 나와서 아쉬웠는데 언니한테 선물받은거가타요..,5
format×attr,아이라이너/마스카라/브로우,3,13,4.3,1,2021-08,2026-01,3,3,9,thin,에뛰드 파워래쉬 속눈썹 세럼 블랙도 나왔으면 좋겠어요!!!,저땐 에뛰드에 마스카라 안 팔았었나?,3
format×attr,올인원,3,7,2.3,3,2025-11,2026-05,3,2,4,thin,제이나님 남자 올인원이나 포맨 라인도 만들어주세요!,올인원 마사지만 숏츠로 만들어주세요🩷,3
format×attr,에센스/세럼/앰플 × 세트/단품 구성,3,6,2.0,1,2025-08,2026-02,3,2,6,thin,가벼운 세럼이 따로 나오지는 않지요??,이번 앰플도 출시되면 꼭 사용해볼 거 같고 쿨링 세트로 사용하면 너무 든든할 거 같아요,0
format×attr,크림 × 대용량,3,5,1.7,1,2025-08,2026-01,3,1,5,thin,레이어랩의 콜세지 크림이 저에겐 1등크림이에요^^ 큰용량으로 출시되면 너무좋겠어요,아 그리고 혹시 크림도 대용량 출시계획 있으신가요?ㅎㅎ,0
format×attr,쿠션 × 리필,3,2,0.7,2,2025-12,2026-06,3,3,2,thin,파인피토뮤신 세럼 쿠션은 본품만 있던데 리필도 출시되면 좋겠습니다!!,근데 쿠션리필 따로팔앗으면좋겟음 ㅠㅠㅠㅠㅠ,0
format×attr,컨실러,3,2,0.7,2,2025-08,2026-01,3,3,2,thin,혹시 쓰신 컨실러와 비슷한 컨실러는 없을까요?ㅠㅠ,롬앤에서 쫀득촉촉한 질감의 컨실러 하나만 내주시면 안 될까요?,0
format×attr,바디 × 부위(목/바디/두피/눈가),3,2,0.7,1,2024-08,2026-08,3,3,2,thin,바디용 있는 거 첨봐용...,바디용이 따로 없어서 얼굴용이나 디바이스 이용해서 마사지 했었는데 획기적인 제품이 나왔네요!,0
format×attr,헤어스타일링,3,2,0.7,1,2024-08,2026-06,2,2,2,thin,디파님은 어떤걸쓰시나요…염색제도 만들어주세요,제일 좋은건 염색을 아예 안하는거지만 저희 엄마는 늙어보이면 밀려서 일자리 잃을까봐 하시는 것도 있다고 하셨고 덜 나이들어보이고 싶으신 맘도 있으실테니 언젠가 더 좋은 제품이 나오길 바라고 있어요.,0
format×attr,파우더,3,1,0.3,3,2026-01,2026-07,3,3,1,thin,바르고 자도되는 파우더 나오면 좋겠다...,젤리와 파우더 블러셔를 함께 사용할 수 있는 팔레트가 나오면 좋울 것 같아요-!,0
format×attr,툴/소품 × 세트/단품 구성,3,1,0.3,2,2026-04,2026-06,2,2,1,thin,ㅈㅣ방시 너무 좋은데 퍼프만 따로 판매를 안해요...,피카소 퍼프 진짜 좋은데 따로 팔거나 하지 않나봐요ㅠㅠㅠ,0
format×attr,에센스/세럼/앰플 × 단종/재출시,3,0,0.0,3,2025-11,2026-08,3,3,0,thin,부엌까지 다시 나와야 한다는게 살짝 불편했답니다😢 그래도 제 가장  큰 피부고민이 잡티 어두운 안색이었기에 불편함을 감수하고 코스알엑스 비타민씨 세럼을 사용했던 것이었거든요😊 미니 냉장고를 받게 된다면 더욱더 편안하게 코스알엑스 비타민씨 세럼을 사용할 수 있을거 같아요❤❤,라네즈 스무디 메이크업 세럼은 절대 단종되면 안 돼요,0
format×attr,쿠션 × 지성/건성,2,251,125.5,2,2026-02,2026-06,2,2,251,narrow-strong,"언니 직장인트루버를 위해서 어느정도 커버력있으면서 아침에 30초만에 바르고 나갈 수 있는 휘뚤마뚤 수부지 쿠션 없을까효,,,,, 잠을 선택하고 화장을 포기하는 트루버는 나밖에 없는것....?",세미매트에 건성이 쓸만한 쿠션은 없을까요?,0
format×attr,토너/스킨 × 가격/가성비,2,108,54.0,1,2025-08,2026-08,2,2,103,narrow-strong,스킨수티컬즈 특허 끝났는데 똑같이 얼른 카피 제품들이 저렴하게 얼른 많이 나왔으면 좋겠네요.,올영에선 스킨들 사기 저한텐 너무 비싸서 고민이 많이 되는데 다이소에서 저렴하게 판매해주니 사보고 싶네요!!,5
format×attr,선스틱 × 무기자차/유기자차,2,108,54.0,0,2025-08,2025-08,1,1,97,narrow-strong,무기자차 선스틱은 없나요ㅠ?,무기자차 선스틱은 없나요?,11
format×attr,토너/스킨 × 제형(스틱/쿠션/젤/밤/스프레이),2,87,43.5,2,2026-02,2026-08,2,2,87,narrow-strong,피지연화제 제품 만드는 회사들은 액체로만 팔지말고 토너패드 제형에 뒷부분은 플라스틱으로 해서 밴드 붙이는 것 처럼 한번에 붙이고 뗄 수 있는 제품 만들면 좋겠네요.,"세트로 쓰게 스킨, 로션도 만들어주세요!",0
format×attr,선크림 × 색상/호수 확장,2,62,31.0,2,2026-03,2026-07,2,2,43,narrow-strong,베이지색 파데프리 선크림도 출시 되었으면 좋겠어요.,LG 생활건강 케어존 닥터솔루션 마일드 핑크 톤업 선크림 다시 출시해라고!!!!!!!!!!!!,19
format×attr,툴/소품 × 리필,2,52,26.0,2,2026-05,2026-08,2,2,52,narrow-strong,퍼프도 개별판매 해주시는 만큼 나중에 리필만 개별판매도 열어주세요,리필 퍼프가 없어서 아쉽고 따로 판매하지도 않는거 같아서 그건 너무 아쉬움요^^,0
format×attr,샴푸/린스/트리트먼트 × 부위(목/바디/두피/눈가),2,33,16.5,2,2026-05,2026-06,2,2,33,narrow-strong,만약에 이거 잘 되면 물 들어올 때 노 젓는 마음으로 두피 토닉도 같이 나오면 좋겠어요.,"안 그래도 친구를 위해 직접 두피 케어 오일도 만들어서 선물하려고 준비 중이었는데, 이 제품까지 같이 선물할 수 있게 된다면 정말 최고일 거예요!",0
format×attr,파우더 × 국내출시/입점/유통,2,18,9.0,1,2026-06,2026-06,2,2,16,thin,레몬 파우더 정식 출시 제발..🙏🏻,근데 한국에도 스킨케어하고 쓸 수 있는 파우더가 나온대!!,2
format×attr,선크림 × 톤업,2,11,5.5,2,2026-03,2026-04,2,2,9,thin,"안답답하고(최고중요) 톤보정되는 선크림, 톤업크림 컨첸츠 만들어 주시면 너무 감사할거 같아여 👉🏻❤👈🏻",다음엔 꼭 성분도 좋고 세정도 잘되면서 피부도 좋아지고 톤도 결도 잡티까지 커버되는 만능 톤업선크림 꼭 만들어주세요,2
format×attr,립틴트/립스틱 × 기능(지속/커버/보습/미백 등),2,11,5.5,1,2026-01,2026-01,1,1,11,thin,"색감 위주도 좋지만, 진짜로 립을 보호해주거나 보습력이 어마어마한 제품도 있었으면 해요.",저는 롬앤은 립맛집이니까 지속력이 강하면서 촉촉하게 광택도 올라오는 틴트타입이 나오면 좋을것같아요~~~,0
format×attr,샴푸/린스/트리트먼트 × 지성/건성,2,8,4.0,2,2025-09,2026-05,2,2,7,thin,지성두피 + 냄새제거 + 탈모예방 샴푸는 없을까요?,지성두피라 스케일러 이것저것 써봤는데 이번 티트리 PDRN 두피 스케일러는 진짜 기대돼요 🌿 앞으로도 이렇게 소비자 입장에서 고민한 제품 많이 만들어주세요!,1
format×attr,향수 × 향,2,5,2.5,1,2025-08,2025-12,2,2,3,thin,언젠가 뵙게되면 천연향으로 자신에게 맞는 룸스프레이도 만들어드리고 오일을 섭취하고 바르고 피부에 좋은 오일들등등 ..,제발 로에베 토마토 향수도 나왔으면 좋겠어요~제이나님과 같은 취향이 많았는데 로에베까지!!,2
format×attr,선크림 × 단종/재출시,2,5,2.5,1,2025-08,2025-11,2,2,5,thin,라운드어라운드 카밍선크림 진짜 제가 사고싶었던 모든 조건을 만족하는 단하나의 유일한 선크림이다!!!!!싶었는데 자사몰(네이버)들어가니 q&a중에 단종이라 재출시 없다는데ㅠㅠㅠㅠㅠ,미샤선크림소프트피니시 : 어떤분이 단종되면 안된다고 난리치며 써보라고 해서 쓰는데 나도 주변에 단종되면 안된다고 난리치고 있음.,0
format×attr,하이라이터/쉐이딩 × 제형(스틱/쿠션/젤/밤/스프레이),2,4,2.0,2,2026-01,2026-05,2,2,3,thin,총알 모양 립스틱으로 SNS에서 잠시 보였었던 k-브랜드인데 하이라이터도 출시했었더라구요!!,롬앤 특유의 맑고 깨끗한 무드를 그대로 살린 하이라이터 스틱이 출시되면 데일리 메이크업에서 정말 자주 손이 갈 것 같아요,1
format×attr,세트/기획 × 무기자차/유기자차,2,2,1.0,1,2026-03,2026-03,1,1,2,thin,또한 무기자차 제품만 1개짜리로 살 수 있는 구성은 없을까요?,무기자차단품구성도 만들어주세요,0
format×attr,프라이머/베이스 × 단종/재출시,2,2,1.0,2,2026-01,2026-06,2,2,2,thin,"화장하고 나서 베이스,생기템으로 사용 얼터너티브- 립 포션(8호 누몬드) 채도 눌러줄 때 사용하거나 단독으로는 눈화장이 진하면 어울림 페리페라- 잉크무드 스틱(12호 힙생힙사) 부활했으니 사지 못한 뮤트러들은 당장 가(킹뮤트라슈도 재출시 했으면..) 뮤드-엔젤 허그 글레이즈(101호 웜",설화수에서 최근에 비비크림에 재출시 되었는데 그 제품들도 성분 궁금해요!!,0
format×attr,선크림 × 대용량,2,1,0.5,2,2026-01,2026-03,2,2,1,thin,평소 선크림만 바르고 다니는데 대용량 선세럼도 출시해주세요,유기자차 선크림 대용량도 만들어 주세용!!❤,0
format×attr,선크림 × 국내출시/입점/유통,2,1,0.5,2,2026-05,2026-08,2,2,1,thin,한국에 있는 선크림으론 기미잡티 해결못함  자외선 파장중 가장긴  uva 막는 선크림없음 표기법pa++++로 표시되지만 수치로는 16 인데  유럽기준 표기법ppd를 적용해도 미달임  30이상값이 나와야 기미에 효과를보는데 그렇지못함 uva가 왜 중요하냐면 이놈은 피부속 진피까지 뚫고 들,선크림 공식몰에는 솔드아웃 올영에도없고 판매하는곳 찾기 힘드네요  ㅠㅠ,0
format×attr,쿠션 × 기능(지속/커버/보습/미백 등),2,1,0.5,2,2025-10,2026-01,2,2,1,thin,평소 프레시안 쿠션은 촉촉한데 밀착력도 좋아서 정말 잘 쓰고 있었는데 이번에 프라이머까지 출시됐다니 너무 설레요🥹✨ 특히 오일리하지 않으면서도 매끄럽게 결을 정돈해준다는거보고 바로 제 고민 해결템이라는 확신이 들었어요!,커버력을 조금만 더 높여서 투명한 느낌의 쿠션 or 파데 만들어주시면 너무 좋을 것 같아요!!,0
format×attr,로션/에멀전,2,1,0.5,0,2025-08,2025-08,2,2,1,thin,아이가 쓸만한 로션 없을까요?,저번에도 말씀드렸는데 바디제품 워시랑 로션 꼭 만들어주세요,0
format×attr,선스틱,2,1,0.5,1,2025-08,2026-04,2,2,1,thin,썬스틱 버젼도 하나 추가해서 만들어주세요,검은 옷에 안 묻는 선스틱 없을까요??,0
