comment_id,video_id,published_at,like_count,class,brand,format,attribute,text
Ugy1YnCmMKP2xx31O714AaABAg,gaCIgVsIcyg,2024-08-22,1,b,,,,헐 더 알려주세요
UgyWBWP2-zCUR5_K1ip4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,,코덕시리즈 폭풍 업로드 해주세여
Ugxp9WHCrXa9IybbAsh4AaABAg,gaCIgVsIcyg,2024-08-22,3,b,,파우더,,비비언닝..이제 여름이라 유분기 철철나는데ㅔ..파우더 추천해주세여…😍
UgwNiHKyiFN90vDvatB4AaABAg,gaCIgVsIcyg,2024-08-22,1,b,,,,언니 제발 이번 메컵 영상 찍어주세요
UgxAfJAXjuAqNCy2iMZ4AaABAg,gaCIgVsIcyg,2025-08-22,0,b,,,,이런거 자주 올려주세요 ㅎㅎ
UgxLLI9x8ELMejo2y9l4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,,언니 ㅜㅜㅜ진짜 메이크업 영상 한번만 찍어주시면안될까요 ㅜㅜㅜㅜ화장넘예뻐요
UgyM8U4MFlOFjjcnlch4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,파운데이션,,메이블린 파데도 시간 나면 리뷰 해주실 수 있는zi•••♡😊
UgwcnG2BAj7du_Lo0OR4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,가격/가성비,혹시 시간 되신다면 올영 가성비 화장품 꿀템 알려주세요 ㅠㅠ
UgxPNIC6VUrMRpQQay54AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,,와 진짜 감탄했어요…혹시 인생템 영상도 업로드 해주실 수 있으실까요
Ugxxu4GlEXBAhwbdPsV4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,,진짜 이런정보 누가 알려줘;; 바로 구독해버려
Ugyq0xs40Ly3APjX8TF4AaABAg,gaCIgVsIcyg,2024-08-22,1,b,투슬래시포,하이라이터/쉐이딩,,언니 투슬래시포 하이라이터 큐브 리뷰해줘!!!!@@!@@@@!
UgyrFNbYYkrdrdkj4wx4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,,언니 제발 또 영상 주세요 😮😮😮😮😮
Ugyv2ue1JqVgT8RaGsp4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,,칠판에 일타강사처럼 강의해주면 재밌을거같아여!!
UgxQ95VQnaJAZ5-Wj_t4AaABAg,gaCIgVsIcyg,2024-08-22,0,b,,,,코스맥스 랑 한국 콜마 제품 추천 해주세요
UgxNNvRYxNc4bc5M1ph4AaABAg,q2J2JBbKz4o,2026-02-22,103,b,,,,앞으로도 쭉 지금처럼 구독자들에게 도움이 되는 컨텐츠 만드시면서 승승장구 하시길 바랍니다!
UgzVUSJHEXM3u93X_Yh4AaABAg,q2J2JBbKz4o,2026-02-22,22,b,,뷰티디바이스,,초음파나 고주파 관리기도 리뷰 추천해주세요
Ugw_29HEVmXKEwiGfxZ4AaABAg,q2J2JBbKz4o,2026-02-22,17,b,,,,지방 사는 저에게는 너무 필요한 정보를 주셔요
UgyagYm7on9AZbeOaMd4AaABAg,q2J2JBbKz4o,2026-02-22,12,b,,,,부디   초심잃지마시고  방송해주세요
UgwxzC8OY28URGLgu5B4AaABAg,q2J2JBbKz4o,2026-02-22,3,b,,,,했습니다!앞으로도 좋은정보 부탁드려요~😊
